The Hunger Games,Suzanne Collins,7251719,182495,4.32,374,2008,The Hunger Games #1,"Young Adult, Fiction, Science Fiction","Locus Award Nominee for Best Young Adult Book (2009), Georgia Peach Book Award (2009), Buxtehuder Bulle (2009), Golden Duck Award for Young Adult (Hal Clement Award) (2009), Grand Prix de l'Imaginaire Nominee for Roman jeunesse étranger (2010), Books I Loved Best Yearly (BILBY) Awards for Older Readers (2012), West Australian Young Readers' Book Award (WAYRBA) for Older Readers (2010), Red House Children's Book Award for Older Readers & Overall (2010), South Carolina Book Award for Junior and Young Adult Book (2011), Charlotte Award (2010), Colorado Blue Spruce Young Adult Book Award (2010), Teen Buckeye Book Award (2009), Pennsylvania Young Readers' Choice Award for Young Adults (2010), Rhode Island Teen Book Award (2010), Vermont Golden Dome Book Award (2010), Evergreen Teen Book Award (2011), Soaring Eagle Book Award (2009), Milwaukee County Teen Book Award Nominee (2010), Sakura Medal for Middle School Book (2010), Michigan Library Association Thumbs Up! Award (2009), Florida Teens Read (2009), Deutscher Jugendliteraturpreis for Preis der Jugendjury (2010), Iowa High School Book Award (2011), New Mexico Land of Enchantment Award for Young Adult (2011), Eliot Rosewater Indiana High School Book Award (2010), The Inky Awards for Silver Inky (2009), California Young Readers Medal for Young Adult (2011), Lincoln Award (2011), Kinderboekwinkelprijs (2010), Missouri Truman Readers Award (2011), CYBILS Award for Young Adult Fantasy & Science Fiction (2008), Literaturpreis der Jury der jungen Leser for Jugendbuch (2010), The Inky Awards Shortlist for Silver Inky (2009), Prix Et-lisez-moi (2011), Missouri Gateway Readers Award (2011), Oklahoma Sequoyah Award for High School and Intermediate (2011), Premio El Templo de las Mil Puertas for Mejor novela extranjera perteneciente a saga (2009), Rebecca Caudill Young Readers' Book Award (2011), LovelyBooks Leserpreis for Fantasy (2009), LovelyBooks Leserpreis for Bestes Cover/Umschlag (2009), Premi Protagonista Jove for Categoria 13-14 anys (2010) ","District 12 - Panem,Capitol - Panem,Panem"
1984,George Orwell,3730475,85854,4.19,298,1949,,"Classics, Fiction, Science Fiction","Prometheus Hall of Fame Award (1984), Locus Award Nominee for All-Time Best Science Fiction Novel (1987)",
The Giver,Lois Lowry,2067116,70209,4.13,208,1993,The Giver  #1,"Young Adult, Fiction, Classics","Newbery Medal (1994), Mythopoeic Fantasy Award Nominee for Children's Literature (1994), Golden Duck Award for Young Adult (Hal Clement Award) (1994), Garden State Book Award for Teen Fiction Grades 6-8 (1996), Buckeye Children's Book Award for Grade 6-8 (1997), Grand Canyon Reader Award for Teen Book (1995), Maryland Black-Eyed Susan Book Award for Grade 6-9 (1995), Golden Sower Award for Young Adult (1995), Pennsylvania Young Readers' Choice Award for Grades 3-8 (1995), Soaring Eagle Book Award Nominee (1996), Pacific Northwest Library Association Young Reader's Choice Award for Senior (1996), Boston Globe-Horn Book Award Nominee for Fiction (1993), New Mexico Land of Enchantment Award (1997), Eliot Rosewater Indiana High School Book Award (1997), William Allen White Children's Book Award (1996), Wyoming Indian Paintbrush Nominee (1996), NSK Neustadt Prize for Children's Literature Nominee (2013), Oklahoma Sequoyah Award for YA (1996), Rebecca Caudill Young Readers' Book Award (1996), Hea Lasteraamat (2010), Premi Protagonista Jove for Categoria 13-14 anys (2016), Margaret A. Edwards Award (2007) ",
Divergent,Veronica Roth,3369262,112583,4.17,487,2011,Divergent #1,"Young Adult, Science Fiction, Dystopia","Georgia Peach Book Award (2012), South Carolina Book Award for Young Adult (2014), Rhode Island Teen Book Award (2013), Evergreen Teen Book Award (2014), Soaring Eagle Book Award (2012), Milwaukee County Teen Book Award Nominee (2012), Children's Choice Book Award Nominee for Teen Choice Book of the Year (2012), Sakura Medal, New Mexico Land of Enchantment Award for Young Adult (2014), Eliot Rosewater Indiana High School Book Award (2014), California Young Readers Medal for Young Adult (2014), Lincoln Award Nominee (2014), DABWAHA Romance Tournament for Best Young Adult Romance (2012), Goodreads Choice Award for Favorite Book and for Young Adult Fantasy & Science Fiction and Nominee for Goodreads Author (2011), Green Mountain Book Award (2013), The Magnolia Award for 6-8 (2014), Louisiana Teen Readers' Choice (2014), Missouri Gateway Readers Award (2014), Oklahoma Sequoyah Award for High Schol (2014), Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera perteneciente a saga (2011) ",Chicago - Illinois
Brave New World,Aldous Huxley,1614531,36706,3.99,268,1932,,"Classics, Fiction, Science Fiction",Not found,"New Mexico,London - England"
Fahrenheit 451,Ray Bradbury,1974005,57200,3.98,194,1953,,"Classics, Fiction, Science Fiction","Prometheus Hall of Fame Award (1984), Geffen Award for Best Translated SF Book (2002), California Book Award for Fiction (Silver) (1953), Retro Hugo Award for Best Novel (2004)",
The Handmaid's Tale,Margaret Atwood,1705011,80317,4.12,314,1985,The Handmaid's Tale  #1,"Fiction, Classics, Science Fiction","Booker Prize Nominee (1986), Nebula Award Nominee for Best Novel (1986), Locus Award Nominee for Best SF Novel (1987), Arthur C. Clarke Award (1987), Audie Award for Fiction (2013), Los Angeles Times Book Prize for Fiction (1986), Prometheus Award Nominee for Best Novel (1987), James Tiptree Jr. Award Nominee for Retrospective (1995), Governor General's Literary Awards / Prix littéraires du Gouverneur général for Fiction (1985), SF Chronicle Award Nominee for Novel (1987), Commonwealth Writers' Prize Nominee for Best Book in Caribbean and Canada (1987), CBC Canada Reads Nominee (2002), Metų verstinė knyga Nominee (2012) ","Republic of Gilead,The United States of America"
Animal Farm,George Orwell,3198336,70249,3.97,141,1945,,"Classics, Fiction, Science Fiction","Prometheus Hall of Fame Award (2011), Retro Hugo Award for Best Novella (1996)",
Lord of the Flies,William Golding,2531493,43979,3.69,182,1954,,"Classics, Fiction, Young Adult",Not found,
Ender's Game,Orson Scott Card,1238257,45488,4.30,324,1985,Ender's Saga #1,"Science Fiction, Young Adult, Fantasy","Hugo Award for Best Novel (1986), Nebula Award for Best Novel (1985), Premi Ictineu for Millor novel·la traduïda (2014), Margaret A. Edwards Award (2008)",
The Road,Cormac McCarthy,787142,49377,3.97,241,2006,,"Fiction, Science Fiction, Science Fiction","Pulitzer Prize for Fiction (2007), Locus Award Nominee for Best SF Novel (2007), James Tait Black Memorial Prize for Fiction (2006), The Quill Award for General Fiction (2007), Puddly Award for Fiction (2010), National Book Critics Circle Award Nominee for Fiction (2006), Believer Book Award (2006), Tähtivaeltaja Award (2009), Cena Akademie SFFH for Kniha roku (Book of the Year) (2008), Prix des libraires du Québec for Lauréats hors Québec (2009), International Dublin Literary Award Nominee (2008), The Rooster -- The Morning News Tournament of Books (2007) ",The United States of America
The Maze Runner,James Dashner,1250218,59368,4.04,384,Not found,The Maze Runner #1,"Young Adult, Science Fiction, Dystopia","Georgia Peach Book Award (2011), Utah Book Award Nominee for Young Adults (2009), Romantic Times Reviewers' Choice Award (RT Award) Nominee for Best Young Adult Paranormal/Fantasy Novel  (2009), Charlotte Award (2012), Pennsylvania Young Readers' Choice Award Nominee (2011), Evergreen Teen Book Award (2012), Milwaukee County Teen Book Award Nominee (2011), Lincoln Award (2012), Missouri Truman Readers Award (2012) ",
The Stand,Stephen King,682121,24586,4.34,1152,1978,,"Horror, Fiction, Fantasy","Locus Award Nominee for Best SF Novel (1979), World Fantasy Award Nominee for Best Novel (1979), Gandalf Award Nominee (1979), Balrog Award Nominee for Best Novel (1979) (1980)","The United States of America,New York City - New York,Boulder - Colorado,…more,Las Vegas - Nevada,Arnett - Texas,Pennsylvania,Arkansas,Arizona,Nevada,Idaho,Boulder - Colorado,Ogunquit - Maine,…less"
Uglies,Scott Westerfeld,609369,24560,3.85,425,Not found,Uglies  #1,"Young Adult, Science Fiction, Dystopia","Georgia Peach Book Award Nominee for Honor book (2008), Golden Duck Award for Young Adult (Hal Clement Award) (2006), Ditmar Award Nominee for Best Novel (2006), South Carolina Book Award Nominee for Young Adult Book Award (2008), Rhode Island Teen Book Award Nominee (2007), Eliot Rosewater Indiana High School Book Award (2007), Lincoln Award (2007), Prix Et-lisez-moi (2009), Missouri Gateway Readers Award Nominee (2008) ",
Delirium,Lauren Oliver,445730,27290,3.96,441,2011,Delirium #1,"Young Adult, Science Fiction, Dystopia","Buxtehuder Bulle (2011), Pennsylvania Young Readers' Choice Award Nominee for Young Adults (2013), Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction and for Favorite Book and for Goodreads Author (2011), Missouri Gateway Readers Award Nominee (2014)",Portland - Maine
Matched,Ally Condie,714898,34198,3.64,369,Not found,Matched #1,"Young Adult, Science Fiction, Dystopia","Whitney Award for Best Youth Speculative Fiction (2010), South Carolina Book Award for Young Adult (2013), Teen Buckeye Book Award (2012), Pennsylvania Young Readers' Choice Award for Young Adults (2012), Rhode Island Teen Book Award (2012), California Young Readers Medal for Young Adult (2013), Lincoln Award Nominee (2013), AML Award for Young Adult Literature (2010), Literaturpreis der Jury der jungen Leser for Jugendbuch (2011), Carnegie Medal Nominee (2012), Missouri Gateway Readers Award Nominee (2013) ",
V for Vendetta,Alan Moore,287451,6224,4.25,296,1990,V for Vendetta #1-10,"Sequential Art, Graphic Novels, Sequential Art","Prometheus Hall of Fame Award (2006), Harvey Awards Nominee for Best Continuing or Limited Series & Best Writer (for Alan Moore) (1989)",United Kingdom
Never Let Me Go,Kazuo Ishiguro,556690,38543,3.84,288,2005,,"Fiction, Science Fiction, Science Fiction","Booker Prize Nominee (2005), Locus Award Nominee for Best SF Novel (2006), Arthur C. Clarke Award Nominee (2006), James Tait Black Memorial Prize Nominee for Fiction (2005), ALA Alex Award (2006), National Book Critics Circle Award Nominee for Fiction (2005), Corine Internationaler Buchpreis for Belletristik (2006), International Dublin Literary Award Nominee (2007) ","Hailsham,England,United Kingdom"
Unwind,Neal Shusterman,209238,19841,4.16,337,Not found,Unwind Dystology #1,"Young Adult, Science Fiction, Dystopia","Rhode Island Teen Book Award Nominee (2010), Evergreen Teen Book Award (2010), Sakura Medal for Middle School Book (2009), Florida Teens Read Nominee (2009), Eliot Rosewater Indiana High School Book Award (2010), California Young Readers Medal Nominee for Young Adult (2011), Gouden Lijst Nominee (2013), Green Mountain Book Award (2010), Missouri Gateway Readers Award Nominee (2010), Oklahoma Sequoyah Award for Intermediate (2010) ","Akron - Ohio,Ohio,Scottsburg - Indiana,…more,Arizona,Joplin - Missouri,…less"
Oryx and Crake,Margaret Atwood,242088,14730,4.01,389,2003,MaddAddam #1,"Fiction, Science Fiction, Science Fiction","Booker Prize Nominee (2003), Orange Prize Nominee for Fiction Shortlist (2004), Sunburst Award Nominee for Canadian Novel (2004), Scotiabank Giller Prize Nominee (2003), Grand Prix de l'Imaginaire Nominee for Roman étranger (2006)",
Ready Player One,Ernest Cline,1000517,94266,4.24,374,Not found,Ready Player One #1,"Science Fiction, Fiction, Young Adult","Locus Award Nominee for Best First Novel (2012), John W. Campbell Memorial Award Nominee (2012), Prometheus Award for Best Novel (2012), ALA Alex Award (2012), Lincoln Award Nominee (2014), Tähtivaeltaja Award Nominee (2013), Mary Shelley Award for Outstanding Fictional Work (2016), Premi Ictineu for Millor novel·la traduïda (2017), Goodreads Choice Award Nominee for Science Fiction and for Favorite Book (2011), Green Mountain Book Award Nominee (2015), Seiun Award 星雲賞 Nominee for Best Translated Novel (2015) ","Columbus - Ohio,The United States of America,Ohio,…more,OASIS,…less"
World War Z: An Oral History of the Zombie War,Max Brooks,478616,27245,4.01,342,Not found,World War Z,"Horror, Fiction, Horror","Audie Award for Multi-Voiced Performance (2014), Premio Ignotus Nominee for Mejor novela extranjera (Best Foreign Novel) (2009), Lincoln Award Nominee (2012), Seiun Award 星雲賞 Nominee for Best Translated Long Form (2011)",
Legend,Marie Lu,470556,32517,4.16,305,Not found,Legend #1,"Young Adult, Science Fiction, Dystopia","Rhode Island Teen Book Award Nominee (2013), Milwaukee County Teen Book Award Nominee (2013), The Inky Awards Nominee for Silver Inky (2012), California Young Readers Medal Nominee for Young Adult (2015), Lincoln Award Nominee (2014), Missouri Truman Readers Award (2014), Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction and for Goodreads Author (2012), Rebecca Caudill Young Readers' Book Award (2015) ",Los Angeles - The Republic of America
Do Androids Dream of Electric Sheep?,Philip K. Dick,390343,15346,4.09,244,1968,Blade Runner #1,"Science Fiction, Fiction, Classics",Nebula Award Nominee for Best Novel (1968),"San Francisco - California,California,The United States of America"
Watchmen,Alan Moore,516406,15444,4.37,416,1987,Watchmen #1-12,"Sequential Art, Graphic Novels, Sequential Art","Hugo Award for Other Forms (1988), Locus Award for Best Non-Fiction/Art (1988), Harvey Awards for Best Writer (for Alan Moore), Best Artist or Penciller (for Dave Gibbons), Best Continuing or Limited Series, Best Single Issue (""Watchmen #9""), Best Graphic Album, Best Colorist (for John Higgins) & Special Award for Excellence in Production  (1988), Prix du Festival d'Angoulême for Alph-art du meilleur album étranger (1989), Urhunden Prize for Foreign Album (1992), Will Eisner Comic Industry Awards for Best Archival Collection/Project–Comic Books (in 2006 awards, for Absolute edition), Best Finite Series, Best Graphic Album, Best Writer (for Alan Moore), Best Writer/Artist (single or team) (for Alan Moore & Dave Gibbons) (1988), IGN Award for Best Collection (2005) ",New York City - New York
The City of Ember,Jeanne DuPrau,263477,11890,3.88,270,Not found,Book of Ember  #1,"Young Adult, Science Fiction, Dystopia","California Book Award for Young Adult (Silver) (2003), Maryland Black-Eyed Susan Book Award for Grade 6-9 (2006), Rhode Island Teen Book Award Nominee (2005), Vermont Golden Dome Book Award Nominee (2005), Child Magazine Best Book of the Year, Sunshine State Young Readers Award for Grades 3-5 and Grades 6-8 (2004), Charlie May Simon Children's Book Award Nominee (2006), New Mexico Land of Enchantment Award for Young Adult (2007), Judy Lopez Memorial Award for Children's Literature Nominee (2004), Chapman Award for Shared Reading Nominee for Fiction (2004), William Allen White Children's Book Award (2006), Washington State Sasquatch Award (2006), Bluestem Book Award Nominee (2019), Rebecca Caudill Young Readers' Book Award Nominee (2006) ",
Slaughterhouse-Five,Kurt Vonnegut Jr.,1227383,31174,4.08,275,1969,,"Classics, Fiction, Science Fiction","Hugo Award Nominee for Best SF Novel (1970), Nebula Award Nominee for Best Novel (1969), National Book Award Finalist for Fiction (1970), Chicago Publishers' Award (1970)","Dresden,Tralfamadore,Ilium,…more,Ardennes,…less"
Wool Omnibus,Hugh Howey,173120,14236,4.21,509,Not found,Silo #1,"Science Fiction, Fiction, Science Fiction","Tähtivaeltaja Award Nominee (2014), Prix des libraires du Québec (2015), Bookworm Best Award for People's Pick (2013), Goodreads Choice Award Nominee for Science Fiction and for Goodreads Author (2012)",
The Time Machine,H.G. Wells,459839,12899,3.90,118,1895,,"Classics, Science Fiction, Fiction",Not found,"United Kingdom,London - England,England"
Cinder,Marissa Meyer,795187,60792,4.13,400,Not found,The Lunar Chronicles #1,"Young Adult, Fantasy, Science Fiction","Golden Duck Award for Young Adult (Hal Clement Award) (2013), Kalbacher Klapperschlange for Altersgruppe 7. - 9. Klasse (2015), Grand Prix de l'Imaginaire Nominee for Roman jeunesse étranger (2014), Pennsylvania Young Readers' Choice Award Nominee for Young Adults (2014), Rhode Island Teen Book Award Nominee (2014), California Young Readers Medal for Young Adult (2016), Lincoln Award Nominee (2014), Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction and for Goodreads Author (2012), Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera perteneciente a saga (2012), Rebecca Caudill Young Readers' Book Award Nominee (2016) ",New Beijing - Eastern Commonwealth
I Am Legend and Other Stories,Richard Matheson,124744,5240,4.00,317,1954,,"Horror, Fiction, Science Fiction",Not found,Los Angeles - California
Battle Royale,Koushun Takami,67408,5980,4.21,617,1999,,"Fiction, Horror, Science Fiction",Not found,Japan
The Selection,Kiera Cass,1197583,61859,4.11,336,Not found,The Selection #1,"Young Adult, Romance, Science Fiction","Lincoln Award Nominee (2015), Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2012)",
Anthem,Ayn Rand,141172,10008,3.63,105,1938,,"Fiction, Classics, Science Fiction","Prometheus Hall of Fame Award (1987), Retro Hugo Award Nominee for Best Novella (2014)",
The Gunslinger,Stephen King,551881,21012,3.94,231,1982,The Dark Tower #1,"Fantasy, Fiction, Horror",Not found,
The Passage,Justin Cronin,200212,20014,4.03,766,Not found,The Passage #1,"Horror, Fiction, Science Fiction","Locus Award Nominee for Best SF Novel (2011), Goodreads Choice Award Nominee for Favorite Book and for Science Fiction (2010)","Telluride - Colorado,Las Vegas - Nevada,Roswell - New Mexico,…more,Colorado,…less"
We,Yevgeny Zamyatin,81795,5635,3.91,226,1924,,"Fiction, Science Fiction, Classics",Not found,OneState
Life As We Knew It,Susan Beth Pfeffer,124002,10108,3.88,337,Not found,Last Survivors #1,"Young Adult, Science Fiction, Dystopia","Buxtehuder Bulle (2010), South Carolina Book Award Nominee for Young Adult Book (2009), Rhode Island Teen Book Award Nominee (2008), Evergreen Teen Book Award (2009), The Inky Awards Nominee for Silver Inky (2008), California Young Readers Medal Nominee for Young Adult (2009), Andre Norton Award Nominee (2006), Missouri Truman Readers Award (2009), Missouri Gateway Readers Award Nominee (2009), Rebecca Caudill Young Readers' Book Award Nominee (2009) ","Pennsylvania,Howell - Pennsylvania"
The Knife of Never Letting Go,Patrick Ness,179818,19204,3.97,512,2008,Chaos Walking #1,"Young Adult, Science Fiction, Dystopia","Guardian Children's Fiction Prize (2008), Manchester Book Award  Nominee for Longlist (2009), Odyssey Award Nominee (2011), James Tiptree Jr. Award (2008), Milwaukee County Teen Book Award Nominee (2010), Dioraphte Jongerenliteratuurprijs Nominee (2014), Carnegie Medal Nominee (2009), Green Mountain Book Award (2012) ",New World
A Clockwork Orange,Anthony Burgess,650264,16124,4.00,213,1962,,"Classics, Fiction, Science Fiction",Prometheus Hall of Fame Award (2008),England
Shatter Me,Tahereh Mafi,406106,38175,3.92,338,Not found,Shatter Me #1,"Young Adult, Science Fiction, Dystopia",Arab American Book Award Nominee for Children's/Young Adult (2013),
Blindness,José Saramago,237101,19332,4.16,326,1995,Blindness #1,"Fiction, Science Fiction, Dystopia","International Dublin Literary Award Nominee (1999), Premio San Clemente Rosalía-Abanca for Novela Estranxeira (1999)",
The Host,Stephenie Meyer,950504,42378,3.85,624,Not found,The Host #1,"Young Adult, Science Fiction, Fantasy",Not found,Arizona
Cat's Cradle,Kurt Vonnegut Jr.,362776,12266,4.16,179,1963,,"Fiction, Classics, Science Fiction",Hugo Award Nominee for Best Novel (1964),"San Lorenzo,Ilium"
A Canticle for Leibowitz,Walter M. Miller Jr.,100268,5314,3.98,334,1959,St. Leibowitz #1,"Science Fiction, Fiction, Apocalyptic","Hugo Award for Best Novel (1961), Locus Award for All-Time Best Novel (1975)",
Gone,Michael  Grant,191013,11367,3.86,560,Not found,Gone #1,"Young Adult, Science Fiction, Dystopia",Missouri Truman Readers Award Nominee (2011),"Perdido Beach - California,California"
The 5th Wave,Rick Yancey,425589,30616,4.02,457,Not found,The 5th Wave #1,"Young Adult, Science Fiction, Science Fiction","Georgia Peach Book Award Nominee for Honor book (2014), South Carolina Book Award for Young Adult (2016), Keystone to Reading Book Award Nominee for High School (2015), Evergreen Teen Book Award (2016), Milwaukee County Teen Book Award Nominee (2014), The Inky Awards Nominee for Silver Inky (2013), Lincoln Award Nominee (2015), Goodreads Choice Award Nominee for Best Young Adult Fantasy & Science Fiction (2013), Carnegie Medal Nominee (2014), Green Mountain Book Award Nominee (2015), Louisiana Teen Readers' Choice (2016), Missouri Gateway Readers Award (2016), Oklahoma Sequoyah Award for High School (2016), Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera perteneciente a saga (2013) ",Ohio
The Children of Men,P.D. James,43206,3381,3.68,241,1992,,"Fiction, Science Fiction, Science Fiction",Not found,England
Neuromancer,William Gibson,287962,11213,3.90,292,1984,Sprawl #1,"Science Fiction, Fiction, Science Fiction","Hugo Award for Best Novel (1985), Nebula Award for Best Novel (1984), Locus Award Nominee for Best First Novel and Best SF Novel (1985), British Science Fiction Association Award Nominee for Best Novel (1984), Philip K. Dick Award (1985), John W. Campbell Memorial Award Nominee (1985), Ditmar Award for Best International Long Fiction (1985), SF Chronicle Award for Novel (1985), Tähtivaeltaja Award (1992), Prix Aurora Award Nominee (1985), Seiun Award 星雲賞 for Best Translated Long Story (1987) ","Chiba - Tokyo,New York City - New York,Istanbul"
Snow Crash,Neal Stephenson,252796,10245,4.03,438,1992,,"Science Fiction, Fiction, Science Fiction","Arthur C. Clarke Award Nominee (1994), British Science Fiction Association Award Nominee (1993), Grand Prix de l'Imaginaire for Roman étranger (1997), Prometheus Award Nominee for Best Novel (1993), Washington State Book Award (1993), Seiun Award 星雲賞 Nominee for Best Foreign Novel (1999) ",The United States of America

